timestamp_utc,solar_elev_deg,brightness_pct,color_temp_k
2025-08-01T04:00:00+00:00,-29.55,10,1000
2025-08-01T04:01:00+00:00,-29.61,10,1000
2025-08-01T04:02:00+00:00,-29.66,10,1000
2025-08-01T04:03:00+00:00,-29.72,10,1000
2025-08-01T04:04:00+00:00,-29.77,10,1000
2025-08-01T04:05:00+00:00,-29.82,10,1000
2025-08-01T04:06:00+00:00,-29.87,10,1000
2025-08-01T04:07:00+00:00,-29.92,10,1000
2025-08-01T04:08:00+00:00,-29.97,10,1000
2025-08-01T04:09:00+00:00,-30.02,10,1000
2025-08-01T04:10:00+00:00,-30.07,10,1000
2025-08-01T04:11:00+00:00,-30.12,10,1000
2025-08-01T04:12:00+00:00,-30.16,10,1000
2025-08-01T04:13:00+00:00,-30.21,10,1000
2025-08-01T04:14:00+00:00,-30.25,10,1000
2025-08-01T04:15:00+00:00,-30.3,10,1000
2025-08-01T04:16:00+00:00,-30.34,10,1000
2025-08-01T04:17:00+00:00,-30.38,10,1000
2025-08-01T04:18:00+00:00,-30.42,10,1000
2025-08-01T04:19:00+00:00,-30.46,10,1000
2025-08-01T04:20:00+00:00,-30.5,10,1000
2025-08-01T04:21:00+00:00,-30.54,10,1000
2025-08-01T04:22:00+00:00,-30.58,10,1000
2025-08-01T04:23:00+00:00,-30.61,10,1000
2025-08-01T04:24:00+00:00,-30.65,10,1000
2025-08-01T04:25:00+00:00,-30.68,10,1000
2025-08-01T04:26:00+00:00,-30.72,10,1000
2025-08-01T04:27:00+00:00,-30.75,10,1000
2025-08-01T04:28:00+00:00,-30.78,10,1000
2025-08-01T04:29:00+00:00,-30.81,10,1000
2025-08-01T04:30:00+00:00,-30.84,10,1000
2025-08-01T04:31:00+00:00,-30.87,10,1000
2025-08-01T04:32:00+00:00,-30.9,10,1000
2025-08-01T04:33:00+00:00,-30.93,10,1000
2025-08-01T04:34:00+00:00,-30.95,10,1000
2025-08-01T04:35:00+00:00,-30.98,10,1000
2025-08-01T04:36:00+00:00,-31.01,10,1000
2025-08-01T04:37:00+00:00,-31.03,10,1000
2025-08-01T04:38:00+00:00,-31.05,10,1000
2025-08-01T04:39:00+00:00,-31.07,10,1000
2025-08-01T04:40:00+00:00,-31.1,10,1000
2025-08-01T04:41:00+00:00,-31.12,10,1000
2025-08-01T04:42:00+00:00,-31.14,10,1000
2025-08-01T04:43:00+00:00,-31.15,10,1000
2025-08-01T04:44:00+00:00,-31.17,10,1000
2025-08-01T04:45:00+00:00,-31.19,10,1000
2025-08-01T04:46:00+00:00,-31.2,10,1000
2025-08-01T04:47:00+00:00,-31.22,10,1000
2025-08-01T04:48:00+00:00,-31.23,10,1000
2025-08-01T04:49:00+00:00,-31.24,10,1000
2025-08-01T04:50:00+00:00,-31.26,10,1000
2025-08-01T04:51:00+00:00,-31.27,10,1000
2025-08-01T04:52:00+00:00,-31.28,10,1000
2025-08-01T04:53:00+00:00,-31.29,10,1000
2025-08-01T04:54:00+00:00,-31.3,10,1000
2025-08-01T04:55:00+00:00,-31.3,10,1000
2025-08-01T04:56:00+00:00,-31.31,10,1000
2025-08-01T04:57:00+00:00,-31.32,10,1000
2025-08-01T04:58:00+00:00,-31.32,10,1000
2025-08-01T04:59:00+00:00,-31.32,10,1000
2025-08-01T05:00:00+00:00,-31.33,10,1000
2025-08-01T05:01:00+00:00,-31.33,10,1000
2025-08-01T05:02:00+00:00,-31.33,10,1000
2025-08-01T05:03:00+00:00,-31.33,10,1000
2025-08-01T05:04:00+00:00,-31.33,10,1000
2025-08-01T05:05:00+00:00,-31.33,10,1000
2025-08-01T05:06:00+00:00,-31.32,10,1000
2025-08-01T05:07:00+00:00,-31.32,10,1000
2025-08-01T05:08:00+00:00,-31.32,10,1000
2025-08-01T05:09:00+00:00,-31.31,10,1000
2025-08-01T05:10:00+00:00,-31.3,10,1000
2025-08-01T05:11:00+00:00,-31.3,10,1000
2025-08-01T05:12:00+00:00,-31.29,10,1000
2025-08-01T05:13:00+00:00,-31.28,10,1000
2025-08-01T05:14:00+00:00,-31.27,10,1000
2025-08-01T05:15:00+00:00,-31.26,10,1000
2025-08-01T05:16:00+00:00,-31.25,10,1000
2025-08-01T05:17:00+00:00,-31.23,10,1000
2025-08-01T05:18:00+00:00,-31.22,10,1000
2025-08-01T05:19:00+00:00,-31.21,10,1000
2025-08-01T05:20:00+00:00,-31.19,10,1000
2025-08-01T05:21:00+00:00,-31.17,10,1000
2025-08-01T05:22:00+00:00,-31.16,10,1000
2025-08-01T05:23:00+00:00,-31.14,10,1000
2025-08-01T05:24:00+00:00,-31.12,10,1000
2025-08-01T05:25:00+00:00,-31.1,10,1000
2025-08-01T05:26:00+00:00,-31.08,10,1000
2025-08-01T05:27:00+00:00,-31.06,10,1000
2025-08-01T05:28:00+00:00,-31.03,10,1000
2025-08-01T05:29:00+00:00,-31.01,10,1000
2025-08-01T05:30:00+00:00,-30.98,10,1000
2025-08-01T05:31:00+00:00,-30.96,10,1000
2025-08-01T05:32:00+00:00,-30.93,10,1000
2025-08-01T05:33:00+00:00,-30.9,10,1000
2025-08-01T05:34:00+00:00,-30.88,10,1000
2025-08-01T05:35:00+00:00,-30.85,10,1000
2025-08-01T05:36:00+00:00,-30.82,10,1000
2025-08-01T05:37:00+00:00,-30.79,10,1000
2025-08-01T05:38:00+00:00,-30.75,10,1000
2025-08-01T05:39:00+00:00,-30.72,10,1000
2025-08-01T05:40:00+00:00,-30.69,10,1000
2025-08-01T05:41:00+00:00,-30.65,10,1000
2025-08-01T05:42:00+00:00,-30.62,10,1000
2025-08-01T05:43:00+00:00,-30.58,10,1000
2025-08-01T05:44:00+00:00,-30.54,10,1000
2025-08-01T05:45:00+00:00,-30.51,10,1000
